plaintext,ciphertext,algorithm,private_key
309330029018192100689102997569382897874,31730080631591194412982612229419155220344129755547458660856750462928791969718246056031877803715246007158936041857838,AES,
218065251288951942164891280525365187078,793090391501920851356407974429122384059175970875764211905382242648333104974870008360762759137585,Blowfish,
15865081668091140055115009693062097514,739745949912093183095957451246734212148927379590986730220777179518456906099720573590491116577052,Blowfish,
310427877794315552285869455627372969130,36136682852211270503217202671585181038252262965600018425809211588944521394917895463594262264033624654345039895380677,AES,
165649590773999317757150519689393995681,624724236743286798968696441020553448899531958115373961291934050989361227215920981713909951338068,DES,
142135502668952190903672043439989444824,972591290997598523386107138689605315249507302584565019486242141625775062715228923492489610122158,3DES,
335575831532215527131009915915102603541,24692123401110907867887893942751730782543447649843675122002767560218572840377569991903214683618319442297357298403686,AES,
269727212274673137844432036901794869524,9486090174699939044571907543183554416362879341869986246282367918227147218387295952754604694343845579152330770953432,AES,
772001616803326909874076209304324931,9849691606422920426171127848393819301818027511437276139122788721514462211537292378499370259540215977665085753041805,AES,
260958261073886393726000166129468312524,1482564148113839017412159498519326219018665169803126348965335891323328398205909156440307221224928,Blowfish,
10200341246791422311459539667186950353,253235103410623235884622267200970834786995708398161915515158070254507802308736052604753089560001,Blowfish,
305557266453527890971201604517523205863,63838847789731726385604353484700974309931855478069004297244475809492042297795,ChaCha20,
171739982192229143132399425445038835387,652608935837298393045169556553309899404070157746657499313785361540622112710742926779221398857110,Blowfish,
276119697926388341204618529173607020264,207502551694759877461940575281595032879850295660545049565440001646799447534600736648800083480784,Blowfish,
226976395939629074115992677155492832399,1944210065367298000700942485489267601975047651710401268568712957912995638737085249320677495057285,Blowfish,
239409293726804251444695617663520409112,30512385480367665630679204733236648556994677165543751430918675400844386467343076365627679379601104351471929693943877,AES,
296359670503466640286282282941873255038,110018236755497240417419073566726965556006936732078068725794713639548495148960254237364506797483,Blowfish,
164390972127889064663857088854610365348,14491888567254709016565782694168874255868125027760320789240170007473658266549,ChaCha20,
254718946840037252038185198767580824567,1889089726582372751911830010436676297524223225065787148164274492839624631095939524857695428200130,Blowfish,
187288496786964585645744304780216058603,24437627339371266064589699327315196380088138031000788766860813784483058793177523897286953147760972677890907765999163,AES,
276294494509746029078136239616741434318,1353337008192668970337336985508610054150634958034606921061328049527007893350825473774699449365823,DES,
146496162250770058609886158452443427669,9438686127008343580918342100001880774718598138827068958298805652889126275558519585398312179208801129288745870110357,AES,
237729776152040327630591081288588507000,1446792117404517288490598375427043950007452965534898007296864825925443139482111137339817726118650,3DES,
147543158745625489358646349845230377741,7399872309450838095597877564207083597454201717282689435875276958710693679334,ChaCha20,
313846286669687118260052657164450966191,639456632611801505434665506553244673674962363858861287011494019315392009612090701504869140371887,DES,
144065426953144572000574277741744073549,1669503016593538447456760659304896862101749736688201999540360548395021095626,ChaCha20,
46239905542925167380967585796922997750,25273408381604954476985624566509475897314658592807849498450515844066185538518,ChaCha20,
125340813228005583182196097296416885743,652026691129486330015696835500313187908660612014273514239796335894933338225882595897818669219341,Blowfish,
164332359432170227699733457080048876524,12547572157022428824377053013992526905442180125244088884718119625736732881808288104117503033915126774843407401047230,AES,
315920294431734381781145914614771342778,910749771840358202837415046037057863130509236464686245102257978946972906314163177798521971668094,3DES,
297383181549202368908918073462473221781,902350832153431347464412917916907653181501149625864450718807087592214523117955497201306340328267,3DES,
229118224813277714200085894548945683080,106715604107733332212259181694412230758869003515708040916795192113015277638242,ChaCha20,
35467519807886255501331746895530928864,35779031367507150802557800471896257930838759960950149824244233776915476297468,ChaCha20,
228937718573831240227304365130558856526,2050908642899015214784996923419941937502770284362988260452175357317492755822897526746205493735043,Blowfish,
226798794171875385972268290514673924869,7059901227070513477805096190569973281193106976374528358965560494289722200118235615774649334276603978057629532961326,AES,
307673514913629550437467230904160988265,641506524074111140109282100152325987991418336590701401008104746018723360867674864149262733111779,Blowfish,
226958614222038924949616206616783367487,16257838711742192029893935955823250142243013908115488732643712102878582071305515639053761339580612128743284531949765,AES,
327946342224815216042915965122059496928,8722643901831112213156375576334658351699304938932365889941754794939829314093,ChaCha20,
173435307465472279705893301237686706171,27221672939584978771481883417375483061784227958612705337638753789714102245187455524503576028116,Blowfish,
245631313851411445368281206351208254689,1209497503454945776903376661680004958912304999017370325422362222781620587685302353249795337865986,DES,
99412460898109788573132663509837927117,35359951222123813801253073219640267766254636700465970716078114671172803092772,ChaCha20,
269809914904820836441537622673500993232,1638759045774311041418364005523870675155792132613806080061970125710683790314908975592384393724945,3DES,
260076181218178230185251441795614494776,24115803476611584805636982768866002685691509521424618188205292425158163585991047189561059660594420793846664206562309,AES,
137127909569697776996376049347034676779,942118823051798750600480272875097714691491743301818707699618718460749023441842492392124660084756,Blowfish,
340132772419312978434081981497550385366,1973439417170471496709610333990978117588043050247640512063823906017663734787450951199181092186711,3DES,
289889499512409628493435087603041500612,73603147454476601048470320521037108120578025763150658998193230167392891057859002906372891277690,Blowfish,
308274712130174354185838791558085369300,1572361343686266680499467466754633109183710946578264845561549636821989495960706318705011487457488,3DES,
105736436943406577437764919928978980236,36684647600161248430862559915082576098356592817533833533100889131812257279809427003889851292084600191038369785402188,AES,
210927838621964692423356888447291578069,22952316824228426674077172787769852922339278583459705915468682448958771718283513563513807349209493165997804707536313,AES,
286815349742949380492353998782128435716,2039813377765835760111857773317540434098105050518883923235683697113301882677470439911726733466250,Blowfish,
246602629223918793801106901079732084588,1056115988784725526298411586831992422850784153904928783158916911468485019942867992463779222092873,3DES,
232558279233130177886480833217498340323,920914894149252262844799453406778431127792527949934632479364509673961793218471317666932742878281,DES,
271504852684087140100482782364084884971,389430991603035384468163140834691116017378282848329623362237804767274008642435675554514330735471,3DES,
215308413530018528545734755411841294907,14849321818306028391582964274224856784104535393634626575324777107244681603132,ChaCha20,
29644471751353841602366082142399336644,707495743731375030279237805984409840795985439580630577277726174920001055627122185155737955458928,DES,
257757888034225859508983217891198283983,5273746670416212946690010711357406042237309968402081170736178101325436595162090407538177147311584769521392868289271,AES,
117872571917965919077122966502161690810,32287231643649157502473484432286473462858240572153131612560332575904500038027515293406326888914770049454782733803281,AES,
322641383610900797237136001248241122048,1636198310791832531286196495511599800446039475959323727404524434279365382095483050651246172840763,DES,
170097136133955813741849418981977206031,13822240993784370284519137923946442593561878428219497830073257790763610795713146253391390476503225479909521676660717,AES,
123711812285210357790360511760195970237,72118798545766501463336166554212834912175079880388086683966447642477142758774,ChaCha20,
166069036835880155494625243604480095659,1710964349450909933077023202429640203694639519519977453180304764005109373772747328953825016061606,DES,
184745249329035353908623612807057376284,519517574557592468945359326157389716198014209911658039764918091004952519238752571846779223682678,Blowfish,
293654180645091567930454851014284101839,1640734462134817943580729365691521714497167086734162413290156836686190238890921303284655147866895,Blowfish,
322523721346506489842020579069080919031,21622924008783199516215435780670029388409813487532816179839235252486413443193365497806165051875272280195578172810940,AES,
212539980689638655739953146391960506075,1934272733353755446926529151931414458899603883087523001881392598766298713059283476653660958185785,Blowfish,
321318262783619199987192851573449151310,34773627363884556554966296787128783807599172806601203845863759525547043930822773601265672379881530944758132424223287,AES,
176786614706277821645275259452868136121,2045537824914458818924439722478701387992583448033004034007096759750613793054433582447261883464969,DES,
98347277956407582639764705518000804287,1025163250635479702261998088878597928143274595043855708780036108543197254284761979735546832046898,Blowfish,
252417251990083533863713472914601565312,1239471169806789252799667179056383781428305103830727901329921744121163827973248733763823864922715,Blowfish,
144448317732177551928114743639726214172,829380468396491693520426747274088845134724196884851089880328506546182709345770626999833994841896,3DES,
160612345844588801600869027112357244681,111216342222428085816996665275186798907579718957527261261065154222341313897500,ChaCha20,
220723845482487079726712318865420481983,771222415329424538397599417123160871612384355963875669406667713520677350354550932754479645085885,DES,
332074948501123920617250774751280341359,7053731055851904263649755343017283320708820748002238391142906073370742556157559518071358992141113582994310137796685,AES,
196070341334167385113876576761678904526,53917032298772342924005336295589764695825215925938975358456198265376424833974163568254639529503,Blowfish,
281407250887125617289994038507426601960,46139710275122175012553178410674536924708726679760982903701817001468368345962,ChaCha20,
139389078768010378603909729832597638957,2011123434351180130299218241115394024444221371419184805247851524700947690718896094462031049400378,Blowfish,
318252683283321914838591891056903895800,7765099755221593578364383712957955949868845073963444556507023576592991836370461973486002126224645726672381334201756,AES,
252547271044977300163492747618639735975,14507122963715350494737786355980402854649815515950525695913288154500744456832,ChaCha20,
83475556012231888245356688344540313902,217923233938710349543339392383001592994098309007757251191488814828381433981024439253820089713800,Blowfish,
243158079956200435163444095651438323372,8468046071833033483474375268294152756728064792109387491357363811937195361301005102853012052947098412738140920784001,AES,
230104913821734238712501452998633712380,376478433759994276019241977991050026935490895349150882268424312503490858615004751859913923627353,DES,
149350150412819427271980423644503055603,271861223683594055581164108147328591666642417606644186544092431817249904117237950803816409786524,Blowfish,
276287414511854871349076426558807404332,499402012976146674410554051981679755578631667929501168454877516570394575172888685247898960335166,3DES,
277533028938835556678742723887263563181,1327122454215417396491182179804870008893715972064391014380282586068454102008955656091812068233815,3DES,
205274205439726761583049198032108469834,1708923236174246727933004593718869147045659587330495691059382199581315046389016459182814924545097,DES,
260923071546131859830057356738361695298,566101544287533816805630920187719050217962461714688786218452364024814622171503733850262990353614,Blowfish,
312091729006720325276917640421196016555,567447288361561822044013676266371351856645262873659797342997430809031328904408217828124043321335,Blowfish,
313172972045482371305729068168568466429,735991737365779843852940347408256302026200020335271583177853935853768302376185388811090925646470,Blowfish,
336761882780532670598170963094545752783,9044801340683527699177829121037707488686455093639094571754194501705666859435949381313089559540500183791225951225843,AES,
292885138814765999815631819272644687684,83188273887404623299164155600406651958475158954668723480203927437272334608241,ChaCha20,
215760699780681104265255213481731095294,586924742063520630727531730219916158134120538542259395761219143557502867191025318490498780100494,3DES,
257348400541147226359633953795712931167,15925810830296941170153109517390635330811082721442222577078858647263808823819775071616445056053388391455127592912778,AES,
56060333243991350218910010634835699702,755013670116518232713356217140627452312909270297855977545707762454284016214433057753354567028061,Blowfish,
181827551237285755764503176839733583108,9665225038318137856664657079587354356001473994828964748590312425291628209499547267810282713729855522894561630123948,AES,
82347569718803892547230281577927511647,93614395600763144499297943750783031316068656956914478646892273602420440539192,ChaCha20,
94350827446704267721730660996944601598,1504096809600195028326310774758861803093760363826009961496227411752132002098773436076977537814087816912308755790513,AES,
174028874717300087798407561476025625583,1967575204276895705421800174990271504809177168124487606503716580848112560865653447434635776080962,Blowfish,
22504353903792107354880198233632455940,15076309701050000857509428498789499814911920284307446960181665016677922415279754114880936699686169234127778897004208,AES,
80983132043942089414229258149444928972,32131570456093949618953601035678438783582218000252173338673618343531576524429471095301399064806693512596894188273054,AES,
94387121181497444755265614026429096850,65021286901438461719123910563161725912460403974599361227812783661386991774475,ChaCha20,
100605588577142522282272965287604374438,901732635107589465617940507184575607028763800947736438701769501046820003246071475527211007472194,Blowfish,
245061441179246239765693062838988480177,2104721387715087823018707061399038462661889343631753403468372286399920127380369704267458980802250,3DES,
326653559573924380375300781705067249596,1212264829650713038465572720762036356943299826907781135514805558584439319878416959935023879295831,Blowfish,
220318475003590008805059814802985761596,539738371147250579903338440259065974716020925168398761875755035034151931652359665172013434192889239786235251940061,AES,
77021496694867062490233886264180269995,1758532689695179497875130926360555662105481067814686933559709207437688657772963356247324488858829,Blowfish,
339845803381016931612988140329095559130,1809592247374422021178130840117454560119257535729249808903877641349073362300965329711435845118801,3DES,
236144154988307797935626668150086881825,409669071765309928002671596992122196026097341582750050346115487875176915504602975059916095274621,Blowfish,
184654223219580432219526737060652841895,141668855507560758850540353000575215750850750769331895139618747756445253096636487943801367896861,3DES,
249665224135033190150111458019187288753,443765583413138656892351561322965943617783418847259126223802153928458062994167848400383861019030,Blowfish,
82293152544295085832415548944796201196,1085258237816841388828342543908997713779636315311220983503566606379294342542932312228265248254899,3DES,
194140623421992769606376966321231072140,74903101799719057803251102289524977084909035891400823707851653419266597096830,ChaCha20,
67570865902531467995770042218880859470,1228886138700952574746448019433120612376117166463117994285791637021014558882430176988034365000980,DES,
262008406457703587379033508442486423260,1964563426346565680133915230514487263557432244388706610967565641224940062096852405123557374057104,3DES,
84913843557792586730876491952747799626,17994305121796258346967481319657042561325628187147503195783480416892995253734552865850806277222327058839192979797930,AES,
83038048338858541907956281118460599118,846916563989496633570216237495358458838582456369844355810868803355221659686446520211475045339247,3DES,
191361885216960298161456808157611839595,1451992795590819958839318380524137198305694812149676335833247914012180611703100786773025586634340,Blowfish,
316162117255486467438440896435503873416,2102150195386898881580040893082468913829224887850132586860168150375033513121189931231101275034051,Blowfish,
209974104653020990132168503024670092870,51458627329413713244662107415693522830587751746694026758061688259122448090930,ChaCha20,
45929347553385272880603252109504729721,6735772954433117715884505461368127224218505793742468781480648669511828303002086222503625927964801668044738412436081,AES,
107488500017070936112367054280057323626,1387927192965455538321528564026875615512997795504888276606506696746833793991131078806225394675484,Blowfish,
165404988471128851238805482701534031633,246458415327680496530835647475235502394505987868355695557326872174418423265314743172365053466227,Blowfish,
334724896376240300786986085741686665149,54354221093855816608614442913614468839325686988931771931442158989714212351620,ChaCha20,
113624918296279158193619925821863898283,819167086409415940946230667818967869365532488101555375729115229737769749481503426031641803356655,3DES,
313212247316483587185270413958716180416,672412615519122251544231214066919996254329776336564252090700386590138215138990335950356583651230,Blowfish,
238412971709919637630504593639476759126,35358297829718542134087735377006087382588199745163238215995529354794099448963780160648389531155566005203256871605192,AES,
221837181951920762950385411644674583419,324453269014770865035347877234243815020327248752142272132449404298026434956526384125345390211785,Blowfish,
48835631925638250002874306210549843703,385527971769571115075720364768116318517372885191413206738330175118295538637965258705070871128364,DES,
58738326305665441527128707268674611449,2003657633677467657402322782770665473533740614718168340085357231879781438210656495409743321859605,3DES,
255153573994502236382998337496773498911,20272465259582562083991536558237140571328458167806312710489641194192954606676110573437007460087243290479342175690369,AES,
108721164418279340539409491580642412425,1721456566957869268969414955582584758802528537895906496136816759447256097839116226816109741788977,3DES,
337123137892898460536237902356937198044,2089544733398246159156284136631932063732416244799190439358527056698256663538097143800685692051839,3DES,
173940459137873797087450866898030619487,5632290827831673126202078723846495922918664757344423351256966247457491750067974761125091687840015072180988416285964,AES,
233182421334040871266058483638782971162,222354222626035314356856644601360229822042432909309351845774221564348103908311765589887526166004,Blowfish,
234225556677997577496944615758683315457,1355001761992805505591764828700661616079023873723557544401967509617728818846582090205810399760731,DES,
297258617855446960471729113693071514350,1497415005260248592797226619368673744546050248554241148665259906920884126496438769058754584733878,DES,
228268215101985565282159961800932761141,1876629868775946187979175317032008902295626535124144304025551749527706182652026367465840474131209,DES,
